종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
282330,BGF리테일,"168,000","-1,000","0.59","3,402,397,500","2,903,696,208,000"
138930,BNK금융지주,"7,530","-60","0.79","4,420,327,280","2,454,292,402,380"
001040,CJ,"101,500","-500","0.49","4,923,967,000","2,961,465,297,000"
079160,CJ CGV,"29,400","-450","1.51","6,709,919,900","1,031,940,000,000"
000120,CJ대한통운,"184,000","-1,000","0.54","4,909,778,500","4,197,471,296,000"
097950,CJ제일제당,"454,500","10,000","2.25","18,315,049,000","6,842,127,537,000"
005830,DB손해보험,"55,600","-200","0.36","6,394,634,900","3,936,480,000,000"
000990,DB하이텍,"64,800","300","0.47","74,651,656,200","2,877,028,502,400"
000210,DL,"81,400","-100","0.12","6,821,066,700","1,705,808,957,600"
375500,DL이앤씨,"151,000","-2,000","1.31","17,886,777,500","2,923,169,438,000"
007700,F&F홀딩스,"36,350","0","0.00","1,361,282,800","281,297,564,750"
114090,GKL,"16,250","-350","2.11","3,586,521,350","1,005,154,637,500"
078930,GS,"45,050","-200","0.44","5,250,620,650","4,185,837,778,900"
006360,GS건설,"44,300","0","0.00","26,388,935,150","3,791,260,007,000"
007070,GS리테일,"36,900","0","0.00","8,310,738,700","2,841,300,000,000"
294870,HDC현대산업개발,"32,250","-600","1.83","12,793,680,850","2,125,511,392,500"
011200,HMM,"42,950","-550","1.26","251,655,431,750","14,834,607,316,650"
001060,JW중외제약,"29,900","-250","0.83","1,255,800,700","644,043,787,400"
105560,KB금융,"51,500","-700","1.34","60,224,121,000","21,414,107,880,000"
002380,KCC,"311,500","-1,000","0.32","8,617,709,500","2,768,135,716,500"
016380,KG동부제철,"17,000","-250","1.45","4,714,519,800","1,700,151,249,000"
030200,KT,"33,000","-100","0.30","20,076,467,750","8,616,689,664,000"
033780,KT&G,"83,000","-800","0.95","22,785,548,000","11,395,277,251,000"
003550,LG,"100,000","0","0.00","21,813,673,500","15,730,099,300,000"
034220,LG디스플레이,"23,200","-250","1.07","38,102,642,100","8,301,324,240,000"
051900,LG생활건강,"1,697,000","-40,000","2.30","39,093,632,000","26,504,080,309,000"
032640,LG유플러스,"14,850","50","0.34","18,954,616,050","6,483,678,710,850"
011070,LG이노텍,"224,500","1,500","0.67","43,396,157,500","5,313,265,521,500"
066570,LG전자,"160,500","-3,000","1.83","95,438,282,500","26,265,474,147,000"
051910,LG화학,"849,000","9,000","1.07","171,219,892,000","59,932,899,207,000"
079550,LIG넥스원,"41,150","-200","0.48","3,762,943,000","905,300,000,000"
006260,LS,"72,200","1,500","2.12","19,185,669,100","2,324,840,000,000"
010120,LS ELECTRIC,"60,500","4,300","7.65","47,019,147,100","1,815,000,000,000"
001120,LX인터내셔널,"31,200","1,050","3.48","7,198,826,200","1,209,312,000,000"
108670,LX하우시스,"103,500","0","0.00","7,519,806,500","928,153,845,000"
383800,LX홀딩스,"10,850","-100","0.91","3,012,450,150","827,645,486,500"
035420,NAVER,"441,500","500","0.11","350,001,635,500","72,522,288,892,500"
005940,NH투자증권,"12,500","-50","0.40","3,081,845,100","3,517,611,087,500"
010060,OCI,"116,500","2,000","1.75","17,974,750,500","2,778,451,721,500"
005490,POSCO,"341,500","-3,500","1.01","67,042,725,000","29,774,304,152,500"
010950,S-Oil,"102,000","-1,500","1.45","26,150,697,000","11,483,444,784,000"
034730,SK,"280,500","-2,000","0.71","25,438,915,000","19,736,063,308,500"
011790,SKC,"159,500","-1,500","0.93","61,200,103,500","6,039,993,531,000"
001740,SK네트웍스,"6,140","-50","0.81","5,979,617,120","1,523,872,152,580"
006120,SK디스커버리,"50,800","1,150","2.32","2,640,832,750","967,123,034,000"
302440,SK바이오사이언스,"155,000","500","0.32","36,470,468,000","11,857,500,000,000"
326030,SK바이오팜,"130,000","-2,500","1.89","24,233,313,500","10,180,722,500,000"
361610,SK아이이테크놀로지,"209,000","-2,500","1.18","98,612,088,500","14,901,196,728,000"
096770,SK이노베이션,"271,500","-1,000","0.37","96,775,406,000","25,104,400,626,000"
285130,SK케미칼,"256,500","7,500","3.01","21,922,961,000","3,014,233,074,000"
017670,SK텔레콤,"320,500","-5,000","1.54","40,313,849,500","23,095,275,831,500"
000660,SK하이닉스,"124,000","1,000","0.81","257,152,810,000","90,272,293,260,000"
064960,SNT모티브,"68,900","-500","0.72","2,043,315,400","1,007,534,070,400"
035250,강원랜드,"25,600","-550","2.10","15,830,220,800","5,476,876,800,000"
010130,고려아연,"478,000","48,000","11.16","204,188,450,000","9,019,860,000,000"
011780,금호석유,"221,000","1,000","0.45","65,867,597,000","6,733,359,711,000"
073240,금호타이어,"6,640","-280","4.05","7,481,653,640","1,907,408,305,680"
000270,기아,"88,000","100","0.11","113,048,394,500","35,671,974,536,000"
024110,기업은행,"10,250","-100","0.97","6,837,619,200","7,629,081,016,750"
002350,넥센타이어,"9,350","-250","2.60","4,198,879,380","913,194,649,950"
251270,넷마블,"137,500","1,000","0.73","18,764,061,000","11,818,606,525,000"
006280,녹십자,"322,500","-1,000","0.31","10,257,316,000","3,768,908,505,000"
005250,녹십자홀딩스,"33,500","-200","0.59","4,374,249,150","1,575,445,035,000"
004370,농심,"307,500","-2,500","0.81","6,624,576,500","1,870,412,415,000"
001680,대상,"26,650","-200","0.74","2,456,645,250","923,369,866,250"
047040,대우건설,"7,350","-30","0.41","19,432,007,760","3,054,826,389,300"
042660,대우조선해양,"33,250","-300","0.89","9,028,940,950","3,567,414,744,250"
003090,대웅,"38,500","550","1.45","37,031,103,050","2,238,466,230,000"
069620,대웅제약,"157,500","2,000","1.29","12,124,433,000","1,824,885,562,500"
006650,대한유화,"252,500","4,000","1.61","73,565,364,000","1,641,250,000,000"
001440,대한전선,"2,855","15","0.53","47,041,213,835","2,445,230,440,695"
003490,대한항공,"30,550","-400","1.29","26,454,465,700","10,625,926,203,750"
192080,더블유게임즈,"61,300","-200","0.33","1,959,265,400","1,126,356,972,600"
001230,동국제강,"20,800","-300","1.42","16,744,323,550","1,985,000,929,600"
026960,동서,"29,500","-200","0.67","2,240,174,050","2,941,150,000,000"
049770,동원F&B,"215,000","-3,500","1.60","1,566,013,000","829,711,660,000"
006040,동원산업,"253,500","-1,000","0.39","1,269,371,500","932,281,993,500"
014820,동원시스템즈,"48,100","-350","0.72","3,872,200,400","1,232,250,379,100"
000150,두산,"111,500","5,000","4.69","18,994,587,000","1,842,407,602,500"
241560,두산밥캣,"48,700","-300","0.61","4,282,279,350","4,882,134,384,200"
042670,두산인프라코어,"-","0","0.00","0","3,340,774,397,000"
034020,두산중공업,"25,900","400","1.57","115,711,147,600","11,076,802,313,500"
336260,두산퓨얼셀,"47,500","-100","0.21","14,951,621,250","3,110,951,985,000"
115390,락앤락,"14,100","0","0.00","482,461,850","747,407,695,800"
032350,롯데관광개발,"19,650","-150","0.76","6,747,737,300","1,361,266,758,300"
023530,롯데쇼핑,"111,000","-2,000","1.77","4,532,005,500","3,140,051,805,000"
004000,롯데정밀화학,"72,700","4,100","5.98","71,882,422,500","1,875,660,000,000"
004990,롯데지주,"38,350","-550","1.41","6,234,686,400","4,023,269,238,950"
005300,롯데칠성,"142,500","3,000","2.15","2,908,777,500","1,278,955,027,500"
011170,롯데케미칼,"269,000","0","0.00","67,047,855,500","9,220,087,711,000"
071840,롯데하이마트,"34,850","0","0.00","2,305,057,650","822,728,763,200"
204320,만도,"63,000","400","0.64","12,596,576,500","2,958,298,560,000"
008560,메리츠증권,"4,805","-65","1.33","4,968,197,740","3,275,715,432,095"
006800,미래에셋증권,"9,180","-150","1.61","9,541,100,140","5,832,204,625,440"
003850,보령제약,"22,550","-300","1.31","3,255,067,150","1,175,306,000,000"
003000,부광약품,"20,550","250","1.23","8,422,815,000","1,460,345,656,950"
006400,삼성SDI,"747,000","-3,000","0.40","134,270,412,000","51,367,103,910,000"
028260,삼성물산,"134,000","1,500","1.13","34,377,030,500","25,042,868,854,000"
207940,삼성바이오로직스,"860,000","-5,000","0.58","28,862,799,000","56,901,900,000,000"
032830,삼성생명,"76,700","-800","1.03","15,059,489,500","15,340,000,000,000"
018260,삼성에스디에스,"186,500","-500","0.27","10,917,126,500","14,430,959,700,000"
028050,삼성엔지니어링,"23,300","750","3.33","64,017,116,200","4,566,800,000,000"
009150,삼성전기,"183,000","-2,500","1.35","48,871,926,500","13,668,946,368,000"
005930,삼성전자,"79,300","-500","0.63","709,305,479,100","473,403,756,215,000"
010140,삼성중공업,"6,590","-80","1.20","17,128,463,990","4,151,700,000,000"
016360,삼성증권,"43,400","-200","0.46","4,933,052,550","3,875,620,000,000"
029780,삼성카드,"34,950","200","0.58","5,164,416,750","4,049,268,240,450"
000810,삼성화재,"217,500","-500","0.23","9,268,378,500","10,304,027,047,500"
003230,삼양식품,"89,500","-100","0.11","1,078,027,200","674,204,842,500"
000070,삼양홀딩스,"104,500","0","0.00","1,049,127,000","894,966,319,500"
004490,세방전지,"93,800","-1,500","1.57","4,076,586,300","1,313,200,000,000"
068270,셀트리온,"260,500","-2,500","0.95","77,005,770,000","35,927,257,107,000"
004170,신세계,"277,000","-4,000","1.42","13,730,205,500","2,727,115,137,000"
031430,신세계인터내셔날,"199,000","-500","0.25","2,580,267,000","1,420,860,000,000"
019170,신풍제약,"64,200","0","0.00","71,441,032,200","3,401,636,358,000"
055550,신한지주,"38,600","-850","2.15","47,513,156,300","19,940,742,784,400"
003410,쌍용C&E,"8,040","-140","1.71","5,517,700,850","4,051,031,143,800"
112610,씨에스윈드,"80,400","500","0.63","58,369,697,300","3,390,580,801,200"
002790,아모레G,"61,900","-500","0.80","6,323,801,900","5,104,161,342,000"
090430,아모레퍼시픽,"241,500","-1,500","0.62","20,700,000,000","14,117,725,335,000"
020560,아시아나항공,"-","0","0.00","0","1,279,882,340,800"
010780,아이에스동서,"57,300","0","0.00","3,424,546,200","1,770,146,323,800"
012750,에스원,"83,400","-1,000","1.18","5,860,018,200","3,169,131,445,200"
036570,엔씨소프트,"779,000","2,000","0.26","50,345,107,000","17,102,183,138,000"
111770,영원무역,"41,450","0","0.00","3,463,311,750","1,836,710,348,600"
003520,영진약품,"5,770","-30","0.52","2,029,592,240","1,055,291,057,870"
000670,영풍,"667,000","35,000","5.54","4,739,358,000","1,228,640,680,000"
007310,오뚜기,"529,000","-2,000","0.38","1,477,189,000","1,942,477,949,000"
271560,오리온,"118,000","0","0.00","3,881,209,500","4,665,263,576,000"
001800,오리온홀딩스,"16,350","0","0.00","1,321,517,600","1,024,252,649,700"
316140,우리금융지주,"11,300","-100","0.88","8,723,561,250","8,161,624,817,900"
000100,유한양행,"62,100","-400","0.64","6,674,734,000","4,345,320,753,900"
214320,이노션,"64,300","-100","0.16","863,397,300","1,286,000,000,000"
139480,이마트,"157,500","0","0.00","11,423,339,000","4,390,441,492,500"
007570,일양약품,"35,400","-500","1.39","4,674,981,450","675,632,505,600"
020150,일진머티리얼즈,"75,700","3,900","5.43","63,085,057,500","3,490,590,209,500"
030000,제일기획,"25,100","-350","1.38","6,109,508,150","2,887,534,747,500"
185750,종근당,"135,500","-1,000","0.73","3,523,160,000","1,548,236,414,500"
013890,지누스,"105,000","-2,000","1.87","4,531,447,000","1,659,047,250,000"
035720,카카오,"162,000","1,000","0.62","482,145,697,500","72,002,557,260,000"
192820,코스맥스,"139,500","-500","0.36","5,007,470,000","1,583,256,505,500"
120110,코오롱인더,"84,700","3,900","4.83","54,316,569,200","2,285,107,748,000"
021240,코웨이,"77,700","-300","0.38","7,020,390,700","5,734,230,396,300"
192400,쿠쿠홀딩스,"120,000","-1,000","0.83","876,938,000","853,492,440,000"
284740,쿠쿠홈시스,"44,900","600","1.35","2,452,539,250","1,007,436,117,000"
039490,키움증권,"121,500","-1,500","1.22","5,735,139,000","3,182,207,593,500"
003240,태광산업,"1,106,000","-7,000","0.63","829,143,000","1,231,420,400,000"
028670,팬오션,"7,530","-210","2.71","66,250,737,840","4,025,308,425,360"
047050,포스코인터내셔널,"24,100","200","0.84","14,988,919,600","2,973,341,090,900"
003670,포스코케미칼,"164,000","3,000","1.86","157,011,232,000","12,703,968,080,000"
103140,풍산,"38,050","0","0.00","7,099,363,500","1,066,323,777,900"
086790,하나금융지주,"42,850","-850","1.95","40,810,598,900","12,865,372,356,700"
352820,하이브,"318,000","9,000","2.91","149,231,763,500","12,402,895,806,000"
000080,하이트진로,"35,150","50","0.14","12,578,851,650","2,465,196,426,650"
036460,한국가스공사,"35,450","50","0.14","8,106,635,150","3,272,495,850,000"
071050,한국금융지주,"103,500","2,000","1.97","53,345,905,500","5,767,640,172,000"
000240,한국앤컴퍼니,"19,000","-250","1.30","2,454,056,300","1,803,769,560,000"
015760,한국전력,"24,650","-150","0.60","21,374,612,200","15,824,414,498,050"
009540,한국조선해양,"126,500","-1,000","0.78","22,095,974,000","8,952,799,174,000"
161890,한국콜마,"55,300","-300","0.54","4,711,975,800","1,265,329,254,000"
161390,한국타이어앤테크놀로지,"51,200","-600","1.16","5,073,019,500","6,342,403,532,800"
