NAME,DAY,ACC,n_estimators,max_depth,min_samples_split,min_samples_leaf
삼성전자,5,0.7040816326530612,500.0,25.0,2.0,10.0
삼성전자,20,0.7337883959044369,300.0,5.0,5.0,10.0
삼성전자,60,0.718213058419244,100.0,5.0,2.0,10.0
삼성전자,120,0.875,300.0,5.0,10.0,10.0
SK하이닉스,5,0.7074829931972789,300.0,5.0,2.0,5.0
SK하이닉스,20,0.7440273037542662,500.0,5.0,5.0,1.0
SK하이닉스,60,0.6701030927835051,500.0,5.0,10.0,10.0
SK하이닉스,120,0.7465277777777778,100.0,25.0,5.0,5.0
LG화학,5,0.6612244897959184,100.0,5.0,2.0,1.0
LG화학,20,0.6721311475409836,100.0,5.0,2.0,10.0
LG화학,60,0.5909090909090909,300.0,5.0,10.0,5.0
LG화학,120,0.14225941422594143,100.0,5.0,10.0,5.0
카카오,5,0.6679389312977099,100.0,25.0,10.0,10.0
카카오,20,0.7931034482758621,500.0,25.0,5.0,10.0
카카오,60,0.8687258687258688,100.0,5.0,2.0,10.0
카카오,120,0.78125,100.0,5.0,10.0,5.0
NAVER,5,0.504424778761062,100.0,15.0,5.0,10.0
NAVER,20,0.8177777777777778,100.0,5.0,5.0,5.0
NAVER,60,0.6322869955156951,100.0,5.0,10.0,10.0
NAVER,120,0.7954545454545454,100.0,15.0,5.0,10.0
현대차,5,0.7074829931972789,500.0,15.0,10.0,10.0
현대차,20,0.757679180887372,100.0,5.0,5.0,5.0
현대차,60,0.8934707903780069,100.0,5.0,5.0,1.0
현대차,120,0.7847222222222222,100.0,5.0,10.0,1.0
