num_date_time,answer
1 2020-08-25 00,8177.884036887401
1 2020-08-25 01,8141.515251374047
1 2020-08-25 02,8107.113325029557
1 2020-08-25 03,8048.541587445381
1 2020-08-25 04,8036.527877955175
1 2020-08-25 05,8010.081203349105
1 2020-08-25 06,7979.82153047846
1 2020-08-25 07,8009.611528017139
1 2020-08-25 08,8022.915642785611
1 2020-08-25 09,8081.419808002549
1 2020-08-25 10,8118.889415451207
1 2020-08-25 11,8113.823184871705
1 2020-08-25 12,8091.024642916828
1 2020-08-25 13,8096.474940280801
1 2020-08-25 14,8089.43077218116
1 2020-08-25 15,8078.241285086843
1 2020-08-25 16,8035.098908882268
1 2020-08-25 17,8010.420350760424
1 2020-08-25 18,8022.3783919179605
1 2020-08-25 19,8029.340043723313
1 2020-08-25 20,8000.677110563725
1 2020-08-25 21,7973.652533150333
1 2020-08-25 22,7967.98974865516
1 2020-08-25 23,7947.037498727919
1 2020-08-26 00,7921.335818063677
1 2020-08-26 01,7888.947244891944
1 2020-08-26 02,7865.844141987903
1 2020-08-26 03,7845.758683188227
1 2020-08-26 04,7801.784352136999
1 2020-08-26 05,7796.046225800421
1 2020-08-26 06,7783.343312638874
1 2020-08-26 07,7831.004576267692
1 2020-08-26 08,7873.949263934788
1 2020-08-26 09,7918.183123213739
1 2020-08-26 10,7973.628469947945
1 2020-08-26 11,7995.874066388791
1 2020-08-26 12,7946.669613078295
1 2020-08-26 13,7918.759081305926
1 2020-08-26 14,7954.161109136084
1 2020-08-26 15,7997.097339349577
1 2020-08-26 16,8055.747910585137
1 2020-08-26 17,8068.2255377948395
1 2020-08-26 18,8063.689284660555
1 2020-08-26 19,8059.445274751068
1 2020-08-26 20,8064.949856823514
1 2020-08-26 21,8107.2955815802525
1 2020-08-26 22,8142.6478991297345
1 2020-08-26 23,8129.1334608779525
1 2020-08-27 00,8114.858659516424
1 2020-08-27 01,8093.140464557695
1 2020-08-27 02,8088.064600705238
1 2020-08-27 03,8089.707322595344
1 2020-08-27 04,8061.90717467464
1 2020-08-27 05,8037.794918595863
1 2020-08-27 06,8016.875995231155
1 2020-08-27 07,8083.542178863206
1 2020-08-27 08,8152.633155300824
1 2020-08-27 09,8208.888930743631
1 2020-08-27 10,8263.520927277892
1 2020-08-27 11,8284.061976620951
1 2020-08-27 12,8319.780379609538
1 2020-08-27 13,8362.19021549035
1 2020-08-27 14,8454.8978529921
1 2020-08-27 15,8493.173975271651
1 2020-08-27 16,8513.429108606386
1 2020-08-27 17,8529.822954821275
1 2020-08-27 18,8644.053995039647
1 2020-08-27 19,8496.905483832932
1 2020-08-27 20,8347.466234820216
1 2020-08-27 21,8293.045990334474
1 2020-08-27 22,8266.40605294038
1 2020-08-27 23,8256.594464254315
1 2020-08-28 00,8251.881171397827
1 2020-08-28 01,8233.735689919959
1 2020-08-28 02,8243.080269210095
1 2020-08-28 03,8255.988007820273
1 2020-08-28 04,8245.529286689172
1 2020-08-28 05,8300.02006945107
1 2020-08-28 06,8271.965600903624
1 2020-08-28 07,8294.446647487655
1 2020-08-28 08,8323.070765686314
1 2020-08-28 09,8351.225606084277
1 2020-08-28 10,8366.794455142704
1 2020-08-28 11,8385.923000346334
1 2020-08-28 12,8432.843174479342
1 2020-08-28 13,8580.159295528094
1 2020-08-28 14,8652.588579005933
1 2020-08-28 15,8677.350210966757
1 2020-08-28 16,8672.927240388788
1 2020-08-28 17,8652.995397217514
1 2020-08-28 18,8626.133167104555
1 2020-08-28 19,8656.213397255178
1 2020-08-28 20,8650.378903398487
1 2020-08-28 21,8660.798848559723
1 2020-08-28 22,8656.964711359424
1 2020-08-28 23,8610.596381364407
1 2020-08-29 00,8593.961209482886
1 2020-08-29 01,8570.505539069849
1 2020-08-29 02,8560.738271771588
1 2020-08-29 03,8548.17424254408
1 2020-08-29 04,8530.21606545463
1 2020-08-29 05,8506.613038974188
1 2020-08-29 06,8511.9566828813
1 2020-08-29 07,8557.829491028424
1 2020-08-29 08,8592.369229320035
1 2020-08-29 09,8625.5158835952
1 2020-08-29 10,8647.508680426285
1 2020-08-29 11,8624.097821332949
1 2020-08-29 12,8622.447187979677
1 2020-08-29 13,8626.687223423394
1 2020-08-29 14,8673.980549980308
1 2020-08-29 15,8668.13458956316
1 2020-08-29 16,8660.985370366772
1 2020-08-29 17,8667.241390968158
1 2020-08-29 18,8653.047302256424
1 2020-08-29 19,8655.799142324746
1 2020-08-29 20,8650.722711246477
1 2020-08-29 21,8651.092336926633
1 2020-08-29 22,8648.770460990281
1 2020-08-29 23,8623.251734878495
1 2020-08-30 00,8615.089287211396
1 2020-08-30 01,8609.855412827956
1 2020-08-30 02,8603.678251202939
1 2020-08-30 03,8576.710180417094
1 2020-08-30 04,8573.720191846767
1 2020-08-30 05,8541.726766730308
1 2020-08-30 06,8512.910551125666
1 2020-08-30 07,8539.497240965711
1 2020-08-30 08,8555.811703928626
1 2020-08-30 09,8557.594900231685
1 2020-08-30 10,8558.145835338768
1 2020-08-30 11,8563.051948173566
1 2020-08-30 12,8590.885967930639
1 2020-08-30 13,8595.876372341363
1 2020-08-30 14,8612.019302745934
1 2020-08-30 15,8630.394777586693
1 2020-08-30 16,8623.509924081562
1 2020-08-30 17,8621.95161027691
1 2020-08-30 18,8611.501449050433
1 2020-08-30 19,8609.832298363915
1 2020-08-30 20,8599.373951336125
1 2020-08-30 21,8607.039269895835
1 2020-08-30 22,8614.207292096338
1 2020-08-30 23,8594.923027652203
1 2020-08-31 00,8597.788560077375
1 2020-08-31 01,8575.920468141769
1 2020-08-31 02,8539.516236743219
1 2020-08-31 03,8529.12485569149
1 2020-08-31 04,8513.819586194795
1 2020-08-31 05,8485.034146901051
1 2020-08-31 06,8469.45690072765
1 2020-08-31 07,8499.224813470657
1 2020-08-31 08,8534.180752011926
1 2020-08-31 09,8537.271298636984
1 2020-08-31 10,8557.783600279045
1 2020-08-31 11,8593.118251447424
1 2020-08-31 12,8578.40986939046
1 2020-08-31 13,8592.233263115293
1 2020-08-31 14,8615.311603251619
1 2020-08-31 15,8624.63367913973
1 2020-08-31 16,8608.142401086538
1 2020-08-31 17,8599.871844525314
1 2020-08-31 18,8585.047265044368
1 2020-08-31 19,8607.947612051346
1 2020-08-31 20,8626.332987685295
1 2020-08-31 21,8630.3733166597
1 2020-08-31 22,8623.11546950309
1 2020-08-31 23,8618.03910805543
2 2020-08-25 00,984.0079958589567
2 2020-08-25 01,957.6441230473741
2 2020-08-25 02,980.6934623207798
2 2020-08-25 03,958.7352998858725
2 2020-08-25 04,976.1029170259573
2 2020-08-25 05,974.8479468919421
2 2020-08-25 06,1095.337409733579
2 2020-08-25 07,1291.4433416886177
2 2020-08-25 08,1526.2780818733886
2 2020-08-25 09,1603.0257349053659
2 2020-08-25 10,1454.8752795293356
2 2020-08-25 11,1527.8325526497408
2 2020-08-25 12,1610.3524830432104
2 2020-08-25 13,1535.723048189912
2 2020-08-25 14,1539.3248060611636
2 2020-08-25 15,1518.4932210530483
2 2020-08-25 16,1503.53374108142
2 2020-08-25 17,1472.8929475874017
2 2020-08-25 18,1185.7580774440053
2 2020-08-25 19,1141.9486448034104
2 2020-08-25 20,1065.4317539869528
2 2020-08-25 21,1021.6441308408326
2 2020-08-25 22,1017.3441595804032
2 2020-08-25 23,990.7796090975785
2 2020-08-26 00,995.6959330367897
2 2020-08-26 01,959.2340127132072
2 2020-08-26 02,996.3369569289564
2 2020-08-26 03,972.2379042895158
2 2020-08-26 04,972.4715759731286
2 2020-08-26 05,987.3975581226414
2 2020-08-26 06,1215.7139869419898
2 2020-08-26 07,1377.4967540688797
2 2020-08-26 08,1530.531380992719
2 2020-08-26 09,1550.5992656814274
2 2020-08-26 10,1481.420000768412
2 2020-08-26 11,1515.9702580391033
2 2020-08-26 12,1640.9848814741074
