num_date_time,answer
1 2020-08-25 00,8531.864008260249
1 2020-08-25 01,8513.155236792341
1 2020-08-25 02,8528.393942369275
1 2020-08-25 03,8501.717382161829
1 2020-08-25 04,8466.58636767079
1 2020-08-25 05,8532.548660431139
1 2020-08-25 06,8539.011827811573
1 2020-08-25 07,8534.583581250135
1 2020-08-25 08,8590.369728958925
1 2020-08-25 09,8696.124036768666
1 2020-08-25 10,8539.227883558746
1 2020-08-25 11,8556.287425416574
1 2020-08-25 12,9113.243317443534
1 2020-08-25 13,9205.115971871295
1 2020-08-25 14,9136.352647563215
1 2020-08-25 15,9251.859573559439
1 2020-08-25 16,9236.54626345823
1 2020-08-25 17,9064.358262779779
1 2020-08-25 18,8801.987955794602
1 2020-08-25 19,8695.815939843833
1 2020-08-25 20,8689.961204779775
1 2020-08-25 21,8675.849340263272
1 2020-08-25 22,8652.746439908282
1 2020-08-25 23,8651.270947997875
1 2020-08-26 00,8389.571315350257
1 2020-08-26 01,8394.965727685862
1 2020-08-26 02,8535.316908299612
1 2020-08-26 03,8557.08727092826
1 2020-08-26 04,8613.577395665767
1 2020-08-26 05,8601.82684355889
1 2020-08-26 06,8626.53390929986
1 2020-08-26 07,8530.969788250839
1 2020-08-26 08,8418.343237060504
1 2020-08-26 09,8521.854360531794
1 2020-08-26 10,8695.85984060716
1 2020-08-26 11,8944.83883787648
1 2020-08-26 12,9136.997149938974
1 2020-08-26 13,9095.697751912256
1 2020-08-26 14,9147.860688724926
1 2020-08-26 15,9235.559675677132
1 2020-08-26 16,9247.913981907885
1 2020-08-26 17,9233.431673080395
1 2020-08-26 18,9022.806538407367
1 2020-08-26 19,8614.583855308561
1 2020-08-26 20,8616.473427877032
1 2020-08-26 21,8661.959935206149
1 2020-08-26 22,8600.608593696303
1 2020-08-26 23,8521.703471463688
1 2020-08-27 00,8644.505928388844
1 2020-08-27 01,8601.136241729235
1 2020-08-27 02,8585.024792167327
1 2020-08-27 03,8594.69393963996
1 2020-08-27 04,8580.238175810466
1 2020-08-27 05,8582.548766110636
1 2020-08-27 06,8577.02851875736
1 2020-08-27 07,8643.964992538078
1 2020-08-27 08,8681.371164461796
1 2020-08-27 09,8665.080805879605
1 2020-08-27 10,8676.603140213376
1 2020-08-27 11,8689.53718434369
1 2020-08-27 12,8745.706619105938
1 2020-08-27 13,8856.810585375968
1 2020-08-27 14,8845.390872232074
1 2020-08-27 15,8744.252479310086
1 2020-08-27 16,8708.104210813795
1 2020-08-27 17,8749.740605371619
1 2020-08-27 18,8776.14632296482
1 2020-08-27 19,8713.810245364257
1 2020-08-27 20,8700.713664972161
1 2020-08-27 21,8818.16005665028
1 2020-08-27 22,8735.103511520863
1 2020-08-27 23,8702.905651666324
1 2020-08-28 00,8717.049431426498
